time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.74653e-06	7088.58
1	1.74653e-06	4.3157e-06	7088.58
2	4.3157e-06	8.09502e-06	38.5398
3	8.09502e-06	1.36545e-05	2673.1
4	1.36545e-05	2.18325e-05	5406.18
5	2.18325e-05	3.38626e-05	2810.8
6	3.38626e-05	5.15591e-05	2010.09
7	5.15591e-05	7.75911e-05	1778.11
8	7.75911e-05	0.000115885	1810.44
9	0.000115885	0.000172215	1911.25
10	0.000172215	0.000255079	1958.97
11	0.000255079	0.000376973	1936.59
12	0.000376973	0.000556281	1830.79
13	0.000556281	0.000820047	1566.21
14	0.000820047	0.00120805	1144.66
15	0.00120805	0.00177882	763.485
16	0.00177882	0.00261842	589.35
17	0.00261842	0.0038535	785.278
18	0.0038535	0.00567033	397677
19	0.00567033	inf	397677
