time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.43511e-07	4.22339
1	7.43511e-07	1.83723e-06	4.22339
2	1.83723e-06	3.44611e-06	4.22339
3	3.44611e-06	5.81282e-06	8091.36
4	5.81282e-06	9.29428e-06	21454.5
5	9.29428e-06	1.44156e-05	14869.8
6	1.44156e-05	2.19491e-05	9501.38
7	2.19491e-05	3.30312e-05	7728.98
8	3.30312e-05	4.9333e-05	7182.47
9	4.9333e-05	7.33134e-05	7005.5
10	7.33134e-05	0.000108589	5893.68
11	0.000108589	0.00016048	4219.11
12	0.00016048	0.000236813	2899.83
13	0.000236813	0.000349101	2029.5
14	0.000349101	0.000514278	1519.22
15	0.000514278	0.000757257	1284.87
16	0.000757257	0.00111468	1266.75
17	0.00111468	0.00164047	3486.68
18	0.00164047	0.0024139	16.7045
19	0.0024139	inf	16.7045
