time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.16877e-06	2.68669
1	1.16877e-06	2.88807e-06	2.68669
2	2.88807e-06	5.41718e-06	10917.5
3	5.41718e-06	9.13756e-06	6431.15
4	9.13756e-06	1.46103e-05	3490.18
5	1.46103e-05	2.26608e-05	3843.82
6	2.26608e-05	3.45033e-05	5096.6
7	3.45033e-05	5.19239e-05	5840.13
8	5.19239e-05	7.75499e-05	5488.64
9	7.75499e-05	0.000115246	4758.24
10	0.000115246	0.000170698	4151.76
11	0.000170698	0.00025227	3563.96
12	0.00025227	0.000372263	2891.03
13	0.000372263	0.000548775	2065.42
14	0.000548775	0.000808428	1234.82
15	0.000808428	0.00119038	627.183
16	0.00119038	0.00175225	344.191
17	0.00175225	0.00257876	263.323
18	0.00257876	0.00379458	1319.09
19	0.00379458	inf	1319.09
