time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.59726e-07	19.6595
1	1.59726e-07	3.94687e-07	19.6595
2	3.94687e-07	7.40319e-07	59381.8
3	7.40319e-07	1.24875e-06	91279.8
4	1.24875e-06	1.99667e-06	42067.1
5	1.99667e-06	3.09686e-06	67147.2
6	3.09686e-06	4.71527e-06	127272
7	4.71527e-06	7.09599e-06	127136
8	7.09599e-06	1.05981e-05	56875.1
9	1.05981e-05	1.57497e-05	28411.6
10	1.57497e-05	2.33279e-05	23648
11	2.33279e-05	3.44755e-05	26771.4
12	3.44755e-05	5.08739e-05	31028.2
13	5.08739e-05	7.49964e-05	23395.1
14	7.49964e-05	0.000110481	9912.16
15	0.000110481	0.000162679	4164.83
16	0.000162679	0.000239465	2651.06
17	0.000239465	0.000352417	5122
18	0.000352417	0.000518572	731.899
19	0.000518572	inf	731.899
