time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.5276e-07	20.5561
1	1.5276e-07	3.77472e-07	20.5561
2	3.77472e-07	7.08029e-07	20.5571
3	7.08029e-07	1.19429e-06	63361.5
4	1.19429e-06	1.90958e-06	46396.6
5	1.90958e-06	2.96179e-06	55080.2
6	2.96179e-06	4.50961e-06	59779.1
7	4.50961e-06	6.78649e-06	47831.3
8	6.78649e-06	1.01358e-05	35620.5
9	1.01358e-05	1.50628e-05	33130.1
10	1.50628e-05	2.23104e-05	36229.9
11	2.23104e-05	3.29718e-05	36541.1
12	3.29718e-05	4.8655e-05	28811.6
13	4.8655e-05	7.17253e-05	17354.6
14	7.17253e-05	0.000105662	7681.68
15	0.000105662	0.000155584	2899.35
16	0.000155584	0.00022902	1510.06
17	0.00022902	0.000337046	17525.5
18	0.000337046	0.000495954	39.4042
19	0.000495954	inf	39.4042
