"species","pop1","pop2","category","splitTime","geoDist"
"AKA","MDG","IDN","RM specialist",492.98125,7089.39018264465
"AKA","MDG","THA","RM specialist",718.10875,6419.92327503552
"AKA","MDG","KNY","RM specialist",121.26075,1807.77483383827
"AKA","MDG","MYT","RM specialist",75.770625,557.734183431727
"AKA","IDN","THA","RM specialist",555.085,2013.31379071313
"AKA","IDN","KNY","RM specialist",664.3625,7713.45464272117
"AKA","IDN","MYT","RM specialist",480.32125,7184.45369387876
"AKA","THA","KNY","RM specialist",505.9075,6489.3930854967
"AKA","THA","MYT","RM specialist",700.8925,6328.43822534092
"AKA","KNY","MYT","RM specialist",114.6035,1257.99609311091
"AKY","NCD","AUS","Generalist",3249.9875,2278.14876225475
"CRP","FIJ","PNG","Generalist",97371,3431.59902579486
"CRP","FIJ","SOI","Generalist",96886,2496.40157268031
"CRP","FIJ","POL","Generalist",92607.375,3298.73185547098
"CRP","FIJ","PAU","Generalist",91434.625,5689.6697476603
"CRP","PNG","SOI","Generalist",101.947125,940.806106422237
"CRP","PNG","POL","Generalist",105082.875,6653.11071227284
"CRP","PNG","PAU","Generalist",628.24625,2264.9356147418
"CRP","SOI","POL","Generalist",104639.75,5714.80598530276
"CRP","SOI","PAU","Generalist",620.90375,3193.36461365015
"CRP","POL","PAU","Generalist",111566.375,8852.12135184262
"CLK","MDV","THA","Generalist",40182.75,2826.13300985979
"CLK","MDV","PNG","Generalist",197846.25,8519.09853647924
"CLK","MDV","IDN","Generalist",172480,5623.58343109423
"CLK","MDV","PHI","Generalist",171738.75,5518.57356943069
"CLK","MDV","TAI","Generalist",173547.5,5555.08852647423
"CLK","MDV","NCD","Generalist",199152.5,10421.1676965493
"CLK","MDV","SOI","Generalist",194733.75,9441.39797230416
"CLK","THA","PNG","Generalist",200963.75,5820.11297576771
"CLK","THA","IDN","Generalist",175667.5,2913.49014530544
"CLK","THA","PHI","Generalist",174171.25,2703.34702283715
"CLK","THA","TAI","Generalist",173661.25,2980.35368872974
"CLK","THA","NCD","Generalist",202335,7981.90186462149
"CLK","THA","SOI","Generalist",197840,6768.05653179963
"CLK","PNG","IDN","Generalist",189008.75,2912.73021189924
"CLK","PNG","PHI","Generalist",188772.5,3551.38896052132
"CLK","PNG","TAI","Generalist",190130,4465.73621361555
"CLK","PNG","NCD","Generalist",31679.625,2461.26550669887
"CLK","PNG","SOI","Generalist",6627.95,953.263692539994
"CLK","IDN","PHI","Generalist",14241.5,1390.93699877583
"CLK","IDN","TAI","Generalist",130190,2645.17866591837
"CLK","IDN","NCD","Generalist",192650,5117.17403588739
"CLK","IDN","SOI","Generalist",185850,3856.53945963565
"CLK","PHI","TAI","Generalist",22392.625,1255.93163925619
"CLK","PHI","NCD","Generalist",192286.25,5980.64457162388
"CLK","PHI","SOI","Generalist",185597.5,4481.92948025656
"CLK","TAI","NCD","Generalist",193481.25,6926.25577020301
"CLK","TAI","SOI","Generalist",186902.5,5328.53762910348
"CLK","NCD","SOI","Generalist",29984.75,1649.99791085453
"MEL","NCD","AUS","EQ specialist",1637.6125,2019.76341017295
"MEL","NCD","IDN","EQ specialist",45260.75,5429.84654638467
"MEL","AUS","IDN","EQ specialist",13402.75,3411.21428632459
"PRD","AUS","THA","RM specialist",27770.5,6235.30389883929
"PRD","AUS","NCD","RM specialist",320.2725,1758.88524564405
"PRD","AUS","IDN","RM specialist",25891.375,3764.94183491581
"PRD","THA","NCD","RM specialist",26500.375,7927.17862934019
"PRD","THA","IDN","RM specialist",525.4875,2656.83071451998
"PRD","NCD","IDN","RM specialist",24515.625,5520.26967512201
"POL","IDN","THA","SD specialist",21533.875,2649.1699331518
"SAN","AUS","PNG","SD specialist",36358,4934.74713894588
"SAN","AUS","IDN","SD specialist",593.235,2507.94523092684
"SAN","AUS","SOI","SD specialist",36241.875,5749.21199884032
"SAN","PNG","IDN","SD specialist",37843.125,2918.96118300975
"SAN","PNG","SOI","SD specialist",950.90125,927.232605823311
"SAN","IDN","SOI","SD specialist",37723,3841.7160587022
