sample_ID,species,abbrev,SRR,country,lon,lat,category,perc_proper_reads,depth,n.sites_filtered_individual,n.sites_filtered_species,n.sites_pruned_species
AKA_186,Amphiprion_akallopisos,AKA,pending upload,MDG,43.55219953,-23.15439092,RM specialist,92.3328,22.6121,7675039,7675525,1025032
AKA_189,Amphiprion_akallopisos,AKA,pending upload,MDG,43.57004371,-23.1400847,RM specialist,92.7118,23.4146,7675124,7675525,1025032
AKA_190,Amphiprion_akallopisos,AKA,pending upload,MDG,43.57004371,-23.1400847,RM specialist,92.7786,22.427,7674869,7675525,1025032
FH4029,Amphiprion_akallopisos,AKA,SRR26235441,IDN,110.31,-5.79708335,RM specialist,92.1653,9.42608,7671245,7675525,1025032
FH4030,Amphiprion_akallopisos,AKA,SRR26235440,IDN,110.31,-5.79708335,RM specialist,92.4824,12.1849,7673870,7675525,1025032
FH4031,Amphiprion_akallopisos,AKA,SRR26235439,IDN,110.31,-5.79708335,RM specialist,92.2614,9.86374,7671764,7675525,1025032
FH4032,Amphiprion_akallopisos,AKA,SRR26235438,IDN,110.31,-5.79708335,RM specialist,92.1919,9.92598,7672139,7675525,1025032
FH4034,Amphiprion_akallopisos,AKA,SRR26235437,IDN,110.31,-5.79708335,RM specialist,91.9706,9.86498,7672270,7675525,1025032
AKA_142,Amphiprion_akallopisos,AKA,pending upload,THA,99.0943842,7.5310204,RM specialist,92.7293,21.3841,7674023,7675525,1025032
AKA_143,Amphiprion_akallopisos,AKA,pending upload,THA,99.0943842,7.5310204,RM specialist,92.7153,20.4898,7674113,7675525,1025032
AKA_146,Amphiprion_akallopisos,AKA,pending upload,THA,99.0943842,7.5310204,RM specialist,92.6183,18.2855,7673790,7675525,1025032
AKA_147,Amphiprion_akallopisos,AKA,pending upload,THA,99.0943842,7.5310204,RM specialist,92.5576,19.0392,7674007,7675525,1025032
AKA_153,Amphiprion_akallopisos,AKA,pending upload,THA,99.0943842,7.5310204,RM specialist,93.2567,17.9931,7673365,7675525,1025032
FH810,Amphiprion_akallopisos,AKA,SRR26235442,KNY,40.9010641,-2.2675396,RM specialist,92.3215,9.41553,7672840,7675525,1025032
FH86,Amphiprion_akallopisos,AKA,SRR26235416,KNY,40.9010641,-2.2675396,RM specialist,92.411,8.75135,7671149,7675525,1025032
FH87,Amphiprion_akallopisos,AKA,SRR26235415,KNY,40.9010641,-2.2675396,RM specialist,92.6112,9.89212,7672923,7675525,1025032
FH88,Amphiprion_akallopisos,AKA,SRR26235414,KNY,40.9010641,-2.2675396,RM specialist,92.2199,8.81672,7670894,7675525,1025032
FH89,Amphiprion_akallopisos,AKA,SRR26235413,KNY,40.9010641,-2.2675396,RM specialist,92.3139,9.53027,7672293,7675525,1025032
MY085,Amphiprion_akallopisos,AKA,SRR26235444,MYT,45.14852895,-12.8255515,RM specialist,92.6534,5.85174,7635303,7675525,1025032
MY197,Amphiprion_akallopisos,AKA,SRR26235443,MYT,45.14852895,-12.8255515,RM specialist,91.9005,7.92593,7668251,7675525,1025032
MY428,Amphiprion_akallopisos,AKA,SRR26235432,MYT,45.14852895,-12.8255515,RM specialist,91.9665,9.96651,7668714,7675525,1025032
MY429,Amphiprion_akallopisos,AKA,SRR26235421,MYT,45.14852895,-12.8255515,RM specialist,91.9409,5.91961,7639470,7675525,1025032
MY790,Amphiprion_akallopisos,AKA,SRR26235418,MYT,45.14852895,-12.8255515,RM specialist,92.1458,9.93439,7673093,7675525,1025032
MY791,Amphiprion_akallopisos,AKA,SRR26235417,MYT,45.14852895,-12.8255515,RM specialist,91.8174,9.46974,7672472,7675525,1025032
005_AKA,Amphiprion_akallopisos,AKA,pending upload,NA,NA,NA,RM specialist,87.5493,42.2141,7655975,7675525,1025032
AKA_195,Amphiprion_akallopisos,AKA,pending upload,MDG,48.23630543,-13.47861812,RM specialist,92.5376,21.7256,7674889,7675525,1025032
AKA_196,Amphiprion_akallopisos,AKA,pending upload,MDG,48.23281855,-13.48444507,RM specialist,92.8342,20.4399,7675024,7675525,1025032
AKA_207,Amphiprion_akallopisos,AKA,pending upload,MDG,48.09970597,-13.32212519,RM specialist,92.4339,23.4982,7674936,7675525,1025032
AKA_209,Amphiprion_akallopisos,AKA,pending upload,MDG,48.09153674,-13.30912701,RM specialist,92.635,18.1921,7674857,7675525,1025032
AKA_213,Amphiprion_akallopisos,AKA,pending upload,MDG,48.09153674,-13.30912701,RM specialist,92.0034,24.8416,7675102,7675525,1025032
AKA_217,Amphiprion_akallopisos,AKA,pending upload,MDG,48.09153674,-13.30912701,RM specialist,92.5386,23.1443,7675043,7675525,1025032
AKA_220,Amphiprion_akallopisos,AKA,pending upload,MDG,48.08626881,-13.31313813,RM specialist,92.4332,25.1016,7674471,7675525,1025032
AKA_221,Amphiprion_akallopisos,AKA,pending upload,MDG,48.0898737,-13.3891331,RM specialist,93.0027,25.6859,7675041,7675525,1025032
AKA_227,Amphiprion_akallopisos,AKA,pending upload,MDG,48.06288907,-13.36661812,RM specialist,92.3827,24.3053,7675060,7675525,1025032
AKA_229,Amphiprion_akallopisos,AKA,pending upload,MDG,48.09002737,-13.33748876,RM specialist,92.7247,22.5989,7674994,7675525,1025032
AKA_110,Amphiprion_akallopisos,AKA,pending upload,THA,98.77664337,7.7522403,RM specialist,92.3838,24.0458,7674342,7675525,1025032
AKA_118,Amphiprion_akallopisos,AKA,pending upload,THA,98.77664337,7.7522403,RM specialist,92.7624,24.4246,7674492,7675525,1025032
AKA_124,Amphiprion_akallopisos,AKA,pending upload,THA,98.77664337,7.7522403,RM specialist,92.7289,24.8224,7673950,7675525,1025032
AKA_140,Amphiprion_akallopisos,AKA,pending upload,THA,98.77664337,7.7522403,RM specialist,93.0229,23.2131,7674417,7675525,1025032
AKA_60,Amphiprion_akallopisos,AKA,pending upload,THA,98.3529292,7.9366015,RM specialist,92.6645,22.4458,7674040,7675525,1025032
AKA_63,Amphiprion_akallopisos,AKA,pending upload,THA,98.3529292,7.9366015,RM specialist,92.2484,25.3027,7674545,7675525,1025032
AKA_66,Amphiprion_akallopisos,AKA,pending upload,THA,98.3529292,7.9366015,RM specialist,92.1907,23.4418,7674509,7675525,1025032
AKA_75,Amphiprion_akallopisos,AKA,pending upload,THA,98.3529292,7.9366015,RM specialist,92.5557,26.1907,7674282,7675525,1025032
