Sample_ID,Anemonefish.Species,Species_Abbreviation,Country,Country_Abbreviation,Location,Pop_ID,Coord.X,Coord.Y,Host category,Accession
AKA_186,Amphiprion_akallopisos,AKA,Madagascar,MDG,Ifaty,MDG_Ifaty,43.55219953,-23.15439092,RM specialist,SAMN45957612
AKA_189,Amphiprion_akallopisos,AKA,Madagascar,MDG,Ifaty,MDG_Ifaty,43.57004371,-23.1400847,RM specialist,SAMN45957613
AKA_190,Amphiprion_akallopisos,AKA,Madagascar,MDG,Ifaty,MDG_Ifaty,43.57004371,-23.1400847,RM specialist,SAMN45957614
FH4029,Amphiprion_akallopisos,AKA,Indonesia,IDN,Java,IDN_Java,110.31,-5.79708335,RM specialist,SAMN37622763
FH4030,Amphiprion_akallopisos,AKA,Indonesia,IDN,Java,IDN_Java,110.31,-5.79708335,RM specialist,SAMN37622764
FH4031,Amphiprion_akallopisos,AKA,Indonesia,IDN,Java,IDN_Java,110.31,-5.79708335,RM specialist,SAMN37622765
FH4032,Amphiprion_akallopisos,AKA,Indonesia,IDN,Java,IDN_Java,110.31,-5.79708335,RM specialist,SAMN37622766
FH4034,Amphiprion_akallopisos,AKA,Indonesia,IDN,Java,IDN_Java,110.31,-5.79708335,RM specialist,SAMN37622767
AKA_142,Amphiprion_akallopisos,AKA,Thailand,THA,Lanta,THA_Lanta,99.0943842,7.5310204,RM specialist,SAMN45957615
AKA_143,Amphiprion_akallopisos,AKA,Thailand,THA,Lanta,THA_Lanta,99.0943842,7.5310204,RM specialist,SAMN45957616
AKA_146,Amphiprion_akallopisos,AKA,Thailand,THA,Lanta,THA_Lanta,99.0943842,7.5310204,RM specialist,SAMN45957617
AKA_147,Amphiprion_akallopisos,AKA,Thailand,THA,Lanta,THA_Lanta,99.0943842,7.5310204,RM specialist,SAMN45957618
AKA_153,Amphiprion_akallopisos,AKA,Thailand,THA,Lanta,THA_Lanta,99.0943842,7.5310204,RM specialist,SAMN45957619
FH810,Amphiprion_akallopisos,AKA,Kenya,KNY,Lamu,KNY_Lamu,40.9010641,-2.2675396,RM specialist,SAMN37622762
FH86,Amphiprion_akallopisos,AKA,Kenya,KNY,Lamu,KNY_Lamu,40.9010641,-2.2675396,RM specialist,SAMN37622758
FH87,Amphiprion_akallopisos,AKA,Kenya,KNY,Lamu,KNY_Lamu,40.9010641,-2.2675396,RM specialist,SAMN37622759
FH88,Amphiprion_akallopisos,AKA,Kenya,KNY,Lamu,KNY_Lamu,40.9010641,-2.2675396,RM specialist,SAMN37622760
FH89,Amphiprion_akallopisos,AKA,Kenya,KNY,Lamu,KNY_Lamu,40.9010641,-2.2675396,RM specialist,SAMN37622761
MY085,Amphiprion_akallopisos,AKA,Mayotte,MYT,Mayotte,MYT_Mayotte,45.14852895,-12.8255515,RM specialist,SAMN37622752
MY197,Amphiprion_akallopisos,AKA,Mayotte,MYT,Mayotte,MYT_Mayotte,45.14852895,-12.8255515,RM specialist,SAMN37622753
MY428,Amphiprion_akallopisos,AKA,Mayotte,MYT,Mayotte,MYT_Mayotte,45.14852895,-12.8255515,RM specialist,SAMN37622754
MY429,Amphiprion_akallopisos,AKA,Mayotte,MYT,Mayotte,MYT_Mayotte,45.14852895,-12.8255515,RM specialist,SAMN37622755
MY790,Amphiprion_akallopisos,AKA,Mayotte,MYT,Mayotte,MYT_Mayotte,45.14852895,-12.8255515,RM specialist,SAMN37622756
MY791,Amphiprion_akallopisos,AKA,Mayotte,MYT,Mayotte,MYT_Mayotte,45.14852895,-12.8255515,RM specialist,SAMN37622757
005_AKA,Amphiprion_akallopisos,AKA,NA,NA,,NA,NA,NA,RM specialist,SAMN45957620
AKA_195,Amphiprion_akallopisos,AKA,Madagascar,MDG,Be,MDG_Be,48.23630543,-13.47861812,RM specialist,SAMN45957621
AKA_196,Amphiprion_akallopisos,AKA,Madagascar,MDG,Be,MDG_Be,48.23281855,-13.48444507,RM specialist,SAMN45957622
AKA_207,Amphiprion_akallopisos,AKA,Madagascar,MDG,Be,MDG_Be,48.09970597,-13.32212519,RM specialist,SAMN45957623
AKA_209,Amphiprion_akallopisos,AKA,Madagascar,MDG,Be,MDG_Be,48.09153674,-13.30912701,RM specialist,SAMN45957624
AKA_213,Amphiprion_akallopisos,AKA,Madagascar,MDG,Be,MDG_Be,48.09153674,-13.30912701,RM specialist,SAMN45957625
AKA_217,Amphiprion_akallopisos,AKA,Madagascar,MDG,Be,MDG_Be,48.09153674,-13.30912701,RM specialist,SAMN45957626
AKA_220,Amphiprion_akallopisos,AKA,Madagascar,MDG,Be,MDG_Be,48.08626881,-13.31313813,RM specialist,SAMN45957627
AKA_221,Amphiprion_akallopisos,AKA,Madagascar,MDG,Be,MDG_Be,48.0898737,-13.3891331,RM specialist,SAMN45957628
AKA_227,Amphiprion_akallopisos,AKA,Madagascar,MDG,Be,MDG_Be,48.06288907,-13.36661812,RM specialist,SAMN45957629
AKA_229,Amphiprion_akallopisos,AKA,Madagascar,MDG,Be,MDG_Be,48.09002737,-13.33748876,RM specialist,SAMN45957630
AKA_110,Amphiprion_akallopisos,AKA,Thailand,THA,PhiPhi,THA_PhiPhi,98.77664337,7.7522403,RM specialist,SAMN45957631
AKA_118,Amphiprion_akallopisos,AKA,Thailand,THA,PhiPhi,THA_PhiPhi,98.77664337,7.7522403,RM specialist,SAMN45957632
AKA_124,Amphiprion_akallopisos,AKA,Thailand,THA,PhiPhi,THA_PhiPhi,98.77664337,7.7522403,RM specialist,SAMN45957633
AKA_140,Amphiprion_akallopisos,AKA,Thailand,THA,PhiPhi,THA_PhiPhi,98.77664337,7.7522403,RM specialist,SAMN45957634
AKA_60,Amphiprion_akallopisos,AKA,Thailand,THA,Phuket,THA_Phuket,98.3529292,7.9366015,RM specialist,SAMN45957635
AKA_63,Amphiprion_akallopisos,AKA,Thailand,THA,Phuket,THA_Phuket,98.3529292,7.9366015,RM specialist,SAMN45957636
AKA_66,Amphiprion_akallopisos,AKA,Thailand,THA,Phuket,THA_Phuket,98.3529292,7.9366015,RM specialist,SAMN45957637
AKA_75,Amphiprion_akallopisos,AKA,Thailand,THA,Phuket,THA_Phuket,98.3529292,7.9366015,RM specialist,SAMN45957638
AKA_79,Amphiprion_akallopisos,AKA,Thailand,THA,Similan,THA_Similan,97.64486602,8.6487805,RM specialist,SAMN45957639
AKA_89,Amphiprion_akallopisos,AKA,Thailand,THA,Similan,THA_Similan,97.64486602,8.6487805,RM specialist,SAMN45957640
AKA_92,Amphiprion_akallopisos,AKA,Thailand,THA,Similan,THA_Similan,97.64486602,8.6487805,RM specialist,SAMN45957641
AKA_96,Amphiprion_akallopisos,AKA,Thailand,THA,Similan,THA_Similan,97.64486602,8.6487805,RM specialist,SAMN45957642
AKA_98,Amphiprion_akallopisos,AKA,Thailand,THA,Similan,THA_Similan,97.64486602,8.6487805,RM specialist,SAMN45957643
